Player,School,Final Age,Position,Height,Weight,Hand,Arm,Forty,Vert,Broad
Israel Abanikanda,Pittsburgh,20.3,RB,71,216,8.3,,,,
Kendre Miller,Texas Christian,20.6,RB,71,215,9.4,32.4,,,
Anthony Richardson,Florida,20.6,QB,75.8,244,10.5,32.8,4.4,40.5,129
Kayshon Boutte,Louisiana State,20.7,WR,71.1,195,9.5,31.4,4.5,29,118
Parker Washington,Penn State,20.8,WR,69.6,204,10.1,,,,
Jahmyr Gibbs,Alabama,20.8,RB,69.1,199,9.3,30.5,4.4,33.5,
Marvin Mims,Oklahoma,20.8,WR,71.3,183,,31.6,4.4,39.5,129
Jaxon Smith-Njigba,Ohio State,20.9,WR,72.6,196,,30.5,,35,125
Bijan Robinson,Texas,20.9,RB,71,215,9.8,31.1,4.5,37,124
Jordan Addison,Southern California,20.9,WR,71.1,173,8.8,30.9,4.5,34,122
Keaton Mitchell,East Carolina,21,RB,68,179,9.3,30.8,4.4,38,126
Deuce Vaughn,Kansas State,21.2,RB,65,179,9.5,27.8,,35.5,116
Sean Tucker,Syracuse,21.2,RB,69,207,9.5,,,,
Devon Achane,Texas A&amp;M,21.2,RB,68.6,188,8.5,,4.3,33,
Tyler Scott,Cincinnati,21.2,WR,69.6,177,,30.9,4.4,39.5,133
C.J. Stroud,Ohio State,21.3,QB,75,214,,32.6,,,
Jalin Hyatt,Tennessee,21.3,WR,72.1,176,,32.5,4.4,40,135
Quentin Johnston,Texas Christian,21.3,WR,74.8,208,9.6,33.6,,40.5,134
Tank Bigsby,Auburn,21.4,RB,72,210,9.5,,4.6,32.5,119
Darnell Washington,Georgia,21.4,TE,78.6,264,,34.4,4.6,31,122
Lew Nichols,Central Michigan,21.4,RB,,,,,,,
Josh Downs,North Carolina,21.4,WR,69.1,171,9.3,30.4,4.5,38.5,131
Bryce Young,Alabama,21.4,QB,70.1,204,9.8,30.5,,,
DeWayne McBride,Alabama-Birmingham,21.5,RB,71,209,9.5,30.6,,,
Michael Mayer,Notre Dame,21.5,TE,76.5,249,9.5,31.6,4.7,32.5,118
Grant Dubose,Charlotte,21.5,WR,74.4,201,9.5,31.9,4.6,35,125
Tiyon Evans,Louisville,21.6,RB,69.6,225,8.5,30.4,4.5,30.5,
Tyjae Spears,Tulane,21.6,RB,71,201,,30.8,,39,125
Puka Nacua,Brigham Young,21.6,WR,73.6,201,9.5,31.5,,,
Jahleel Billingsley,Texas,21.6,TE,,,,,,,
Jalen Cropper,Fresno State,21.7,WR,71.1,172,8.9,30.1,4.4,,121
Rashee Rice,Southern Methodist,21.7,WR,72.5,204,9.5,32.8,4.5,41,128
Jonathan Mingo,Mississippi,21.7,WR,73.8,220,10.4,32.1,4.5,39.5,129
Jadon Haselwood,Arkansas,21.7,WR,74.1,215,,31.3,4.7,37,123
Trey Palmer,Nebraska,21.8,WR,72,192,9.6,31.9,4.3,,
Zach Evans,Mississippi,21.8,RB,71,202,10.3,31.6,,,
Tre Tucker,Cincinnati,21.8,WR,68.9,182,8.6,28.9,4.4,37.5,124
Christian Sims,Bowling Green State,21.9,TE,,,,,,,
Roschon Johnson,Texas,21.9,RB,72,219,9.6,,4.6,31.5,122
Rakim Jarrett,Maryland,21.9,WR,71.8,192,9.4,31.4,4.4,35.5,123
Sam Laporta,Iowa,22,TE,75.4,245,10.3,32.1,4.6,35,123
Joseph Ngata,Clemson,22,WR,75.3,217,10.3,33.1,4.5,34.5,124
