Name,Position,College,RAS
Anthony Richardson,QB,Florida,10
Cam Newton,QB,Auburn,10
Daunte Culpepper,QB,Central Florida,10
Marcus Mariota,QB,Oregon,9.94
Josh McCown,QB,Sam Houston State,9.96
Tyree Jackson,QB,Buffalo,9.95
Zach Conque,QB,Stephen F. Austin,9.92
Blaine Gabbert,QB,Missouri,9.92
Brett Hundley,QB,UCLA,9.9
Robert Griffin III,QB,Baylor,9.88
Quinton Porter,QB,Boston College,9.93
Andrew Luck,QB,Stanford,9.79
Dominique Davis,QB,East Carolina,9.7
Colin Kaepernick,QB,Nevada,9.85
Tim Tebow,QB,Florida,9.92
Brady Quinn,QB,Notre Dame,9.88
Clayton Tune,QB,Houston,9.83
Jordan Jefferson,QB,Louisiana State,9.81
Kyle Boller,QB,California,9.92
Brendon Kay,QB,Cincinnati,9.72
Jake Locker,QB,Washington,9.77
Taylor Cornelius,QB,Oklahoma State,9.74
John Lovett,QB,Princeton,9.75
Tyrod Taylor,QB,Virginia Tech,9.72
Jason Vander Laan,QB,Ferris State,9.71
EJ Manuel,QB,Florida State,9.7
Justin Herbert,QB,Oregon,9.7
Taysom Hill,QB,Brigham Young,9.58
Barrick Nealy,QB,Texas State,9.87
Akili Smith,QB,Oregon,9.95
Josh Allen,QB,Wyoming,9.67
Carson Wentz,QB,North Dakota State,9.63
Trevor Knight,QB,Texas A&M,9.52
Desmond Ridder,QB,Cincinnati,9.62
Josh Dobbs,QB,Tennessee,9.6
Adrian McPherson,QB,Florida State,9.89
Jeff Driskel,QB,Louisiana Tech,9.52
Quincy Carter,QB,Georgia,9.91
Feleipe Franks,QB,Arkansas,9.56
Jared Zabransky,QB,Boise State,9.72
Jalen Hurts,QB,Oklahoma,9.52
Kenny Pickett,QB,Pittsburgh,9.53
Ryan Burns,QB,Stanford,9.52
Luke McCown,QB,Louisiana Tech,9.77
Kordell Stewart,QB,Colorado,9.85
Geno Smith,QB,West Virginia,9.48
Cardale Jones,QB,Ohio State,9.61
Easton Stick,QB,North Dakota State,9.46
J.P. Losman,QB,Tulane,9.81
Adrian Martinez,QB,Kansas State,9.47
EJ Perry IV,QB,Brown,9.43
Christian Ponder,QB,Florida State,9.55
Nick Marshall,QB,Auburn,9.32
Patrick Towles,QB,Boston College,9.42
Mike McMahon,QB,Rutgers,9.87
Cody Fajardo,QB,Nevada,9.4
Ronald Curry,QB,North Carolina,9.79
Davis Webb,QB,California,9.39
D.J. Shockley,QB,Georgia,9.5
Kevin O'Connell,QB,San Diego State,9.65
Jeff Tuel,QB,Washington State,9.39
Deshaun Watson,QB,Clemson,9.24
Drew Lock,QB,Missouri,9.37
Tee Martin,QB,Tennessee,9.81
Troy Smith,QB,Ohio State,9.47
Tyler Murphy,QB,Boston College,9.01
Taylor Heinicke,QB,Old Dominion,9.16
Matt Scott,QB,Arizona,9.37
Erik Glavic,QB,International,9.6
Daryll Clark,QB,Penn State,9.26
Antonio Pipkin,QB,Tiffin,9.1
Jarrett Brown,QB,West Virginia,9.31
Dan LeFevour,QB,Central Michigan,9.5
Matt Blanchard,QB,Wisconsin Whitewater,9.26
Charlie Whitehurst,QB,Clemson,9.54
Giovanni Carmazzi,QB,Hofstra,9.76
Troy Williams,QB,Utah,8.96
Paxton Lynch,QB,Memphis,8.97
David Carr,QB,Fresno State,9.66
Bryce Petty,QB,Baylor,9.1
Brook Berringer,QB,Nebraska,10
Peter Pujals,QB,Holy Cross,8.97
Cole McDonald,QB,Hawaii,8.99
Travis Lulay,QB,Montana State,9.4
Chad Pennington,QB,Marshall,9.91
Dan Di Lella,QB,Albany,9.1
Eric Hunter,QB,Purdue,9.82
Joel Stave,QB,Wisconsin,8.95
Sean Clifford,QB,Penn State,9.04
Josh Portis,QB,California,9.04
Marcus Vick,QB,Virginia Tech,9.04
Tyson Bagent,QB,Shepherd,9.01
David Greene,QB,Georgia,9.5
Reggie McNeal,QB,Texas A&M,8.81
Barrett Trotter,QB,Auburn,8.77
Jay Cutler,QB,Vanderbilt,9.21
Steven Montez,QB,Colorado,8.92
Ingle Martin,QB,Furman,9.17
Montell Cozart,QB,Boise State,8.71
Brandon Peters,QB,Illinois,8.91
Matt Cassel,QB,Southern California,9.47
